제목,날짜,신문사,링크
"인권위 ""초등돌봄전담사 전임경력 인정기준, 다른 직종과 같아야""",2019.11.20,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=02755206622687688
"중구, 2019년 '톺아보기'",2019.12.29,충청일보,http://www.ccdailynews.com/news/articleView.html?idxno=1043726
"인천중구보건소, 아동비만 예방 위한 '건강한 돌봄놀이터' 본격 운영",2020.06.21,중부일보,http://www.joongboo.com/news/articleView.html?idxno=363427880
"맞벌이부부 공백 메우는 중구 직영 돌봄교실, 보호자·학생 반응은?",2019.03.14,동아일보,http://www.donga.com/news/article/all/20190314/94550132/1
공적돌봄 초등생까지 확대…대전시 '대전형 아이돌봄'사업 추진,2019.09.18,뉴스1,http://news1.kr/articles/?3722467
"울산시교육청, 초등 돌봄교실 현장점검",2020.04.26,울산제일일보,http://www.ujeil.com/news/articleView.html?idxno=252844
"중구, 관광숙박업 71곳에 핫라인…우한폐렴 실시간 관리",2020.01.30,뉴시스,http://www.newsis.com/view/?id=NISX20200130_0000902582&cID=10201&pID=10200
"다문화 자녀, 그들도 우리처럼…초등학교 입학 도우미 된 중구",2017.02.07,서울신문,http://www.seoul.co.kr/news/newsView.php?id=20170207015025&wlog_tag3=naver
"[아주초대석]서양호 중구청장 ""주민자치의 꽃, 동(洞) 정부 실현에 매진할 것...",2019.10.22,아주경제,http://www.ajunews.com/view/20191022110325562
"서울 중구, 연말까지 '드림캐처 진로체험버스' 운영",2019.08.12,연합뉴스,http://yna.kr/AKR20190812060900004?did=1195m
"[한경과 맛있는 만남] 서양호 서울 중구청장, 운동권→보좌관→청와대→구청장...",2019.08.02,한국경제,https://www.hankyung.com/society/article/2019080298731
"중구청 전직원, 골목상권 ‘氣 살리기’ 팔걷어",2020.02.20,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20200220000069
"대전 중구, 전국 대도시 중심구 구청장협의회 개최",2019.10.16,충청투데이,http://www.cctoday.co.kr/news/articleView.html?idxno=2029666
'아기 키우기 좋은 도시' 울산 중구 올해 출산양육지원금 지급,2020.01.05,뉴시스,http://www.newsis.com/view/?id=NISX20200105_0000879478&cID=10899&pID=10800
