제목,날짜,신문사,링크
"서울시교육청, 코로나-19 지역감염 확산 예방 후속 대책…개학연기, 학원 및 ...",2020.02.25,한국강사신문,http://www.lecturernews.com/news/articleView.html?idxno=35366
[증권사 추천상품] 키움증권 / 키움 글로벌 얼터너티브 증권펀드,2019.01.08,매일경제,http://news.mk.co.kr/newsRead.php?year=2019&no=13798
"순천시보건소, 연향·신대건강생활지원센터 특화 프로그램 운영",2019.02.08,위키트리,http://www.wikitree.co.kr/main/news_view.php?id=402454
"[2018여성포럼]박원순 서울시장 ""포용적 성장의 주체는 여성""",2018.11.08,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2018110809501905366
군산시 '우리아이 공부 특강' 마련,2016.05.22,전라일보,http://www.jeollailbo.com/news/articleView.html?idxno=483606
[새 학년 증후군 & 학교생활 어려움에 대처하는 방법] “우리 아이 학교생활 ...,2019.04.15,내일신문,http://www.naeil.com/news_view/?id_art=309961
제283회 서울시의회 임시회 시정질문,2018.09.04,TBS,http://www.tbs.seoul.kr/news/bunya.do?method=daum_html2&typ_800=R&seq_800=10299282
취약아동 몸·마음 구석구석 돌본다,2014.12.10,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2014120922322487063
"[김영철의 동네 한 바퀴] 재방송 ""마장동 축산시장, 한우, 소고기, 정육식당,...",2020.02.16,한국강사신문,http://www.lecturernews.com/news/articleView.html?idxno=34804
창녕에 육아 사랑방 우리아이 함께 키움터 문 열어,2016.12.26,KNN,http://www.knn.co.kr/119634
아이맘키움 회원이 함께한 ‘엄마가 들려주는 세계문화 이야기’,2017.05.29,아주경제,http://www.ajunews.com/view/20170529142006100
우리아이가 웃고 즐겨요!,2012.10.31,뉴스타운,http://www.newstown.co.kr/news/articleView.html?idxno=133854
"""아이들에게 관심과 사랑을""",2015.01.16,경남매일신문,http://www.gnmaeil.com/news/articleView.html?idxno=269730
"(부산광역시청-종합) 우리 아이들, 부산시가 책임지겠습니다.",2018.10.26,당진신문,http://www.idjnews.kr/news/articleView.html?idxno=35408
[하나님의 선물 아이 좋아] 공보육 강화 등 ‘부모와 같이 아이 키우기’ 4대...,2018.10.25,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0924024006&code=23111652&cp=nv
창녕군 공동육아 '우리아이 함께 키움터' 문열어,2017.02.07,경남일보,http://www.gnnews.co.kr/news/articleView.html?idxno=290483
광주 북구 일곡동 민·관협력 ‘한새봉 꿈 키움터’ 업무협약,2014.09.18,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2014091822231277077
"""가장 좋은 돌봄은 사회적육아 실현하는 사회적협동조합 방식""",2020.09.08,이로운넷,http://www.eroun.net/news/articleView.html?idxno=13319
[기획/아이들 마음건강 함께 챙겨요](1)제주도교육청의 역할과 성과,2018.10.16,한라일보,http://www.ihalla.com/read.php3?aid=1539615600610342014
"임종식 교육감 ""변화 속도보다 옳은 방향이 더 중요""",2020.06.23,뉴시스,http://www.newsis.com/view/?id=NISX20200623_0001069779&cID=10810&pID=10800
"학교폭력 근절기관 '전주 청소년 꿈 키움센터' 박상현 센터장 ""여러 기관·단...",2016.05.11,전북일보,http://www.jjan.kr/news/articleView.html?idxno=581966
[매경춘추] 함께 키우는 아이,2020.02.10,매일경제,http://news.mk.co.kr/newsRead.php?no=133727&year=2020
"박원순 ""부동산 국민공유 실시···청년들에 월세 20만원 주겠다""",2019.12.27,중앙일보,https://news.joins.com/article/olink/23261498
[전문]박원순 서울시장 신년사,2019.12.27,뉴시스,http://www.newsis.com/view/?id=NISX20191227_0000872495&cID=14001&pID=14000
